run_id,spacing,arm_mode,hinge_cw,tip_cw,main_clutch,hinge_clutch,v_wind,t_stop,E_init_j,elec_total,main_gen_j,hinge1_j,hinge2_j,fric_j,aero_j,main_clutch_j,hinge_clutch_plus_genheat_j,peak_shaft_rpm,peak_fly_rpm,final_residual_j,runtime_s
run_000,25cm,upper_double,5,1,oneway,oneway,6.0,119.95,1006.881038039744,355.5348884994132,1.8468628848102808,128.8444211525896,224.84360446201327,364.124989192476,92.5758618727778,0.6833993553291877,10.94131094924762,53.43739844093327,49.03883788474494,-169.10160227200026,14.807226419448853
run_001,25cm,upper_double,5,1,rectifier,oneway,6.0,119.95,996.2784755751574,353.3293118163823,1.7838604007458867,128.36132596284136,223.18412545279503,362.722381605037,91.93497485745104,0.6824091326245223,10.75483192205756,53.300278195713055,48.91084739569908,-162.9519074929484,15.657280206680298
run_002,25cm,upper_double,5,2,oneway,oneway,6.0,119.95,1184.0071568669637,406.82582285751175,2.9251457830795897,165.31274201438762,238.58793506004457,441.930950660766,103.79013440298029,0.7418019394154166,14.617643913505688,54.75883795748992,50.38286531590748,-201.9220514734097,17.362079620361328
run_003,25cm,upper_double,5,2,rectifier,oneway,6.0,119.95,1231.181136436106,427.44360426125553,3.146503463066962,174.14540998640834,250.15169081178024,457.6193264259747,111.18262530493392,0.7626217247553161,15.2949174765344,54.99448961063519,50.59956801699784,-204.65500178038587,18.334014892578125
run_004,25cm,upper_double,5,3,oneway,oneway,6.0,119.95,1422.7023517016,484.90004191269145,3.640062709293729,208.52703603960404,272.73294316379366,533.7267701903246,123.24707269198667,0.7894453675549267,17.522172626796486,54.802433693547215,50.40266866348122,-248.1189030761436,20.94640874862671
run_005,25cm,upper_double,5,3,rectifier,oneway,6.0,119.95,1416.8706291961437,484.610387162114,3.170686928117457,209.52032899259808,271.9193712413985,533.3950625761245,123.58903770790934,0.7718721287204829,16.217991045477156,54.15473042039686,49.76739803048532,-243.94984325077485,21.27351856231689
run_006,25cm,lower_double,5,1,oneway,oneway,6.0,119.95,657.8392622510147,238.74217201153067,0.0,100.20986078242396,138.5323112291067,224.30114530284925,115.76469641804056,0.4371111261929053,0.3981779676471719,38.25591783408085,33.88439983245243,-68.37676848416368,17.63806390762329
run_007,25cm,lower_double,5,1,rectifier,oneway,6.0,119.95,634.3719830542835,228.07503679097024,0.0,88.45014843247091,139.6248883584993,217.8686330900652,114.42162951439812,0.4074815356892288,0.4075242580286904,36.28176935167382,32.18357989397749,-64.2045234205026,17.985087156295776
run_008,25cm,lower_double,5,2,oneway,oneway,6.0,119.95,851.4523040023082,305.1199540521925,0.0,107.21286596027272,197.9070880919198,313.9948225065635,143.1565174206988,0.3946574006656109,0.4498638931149714,33.92964481787075,29.902577634307875,-80.35824998578232,16.32545804977417
run_009,25cm,lower_double,5,2,rectifier,oneway,6.0,119.95,847.495235937022,303.042957104449,0.0,104.41609061375551,198.6268664906935,312.9119788224706,143.64266051020678,0.3858743095115116,0.4386799290511086,33.48417537312059,29.44612177414448,-79.30870308817384,16.228492975234985
run_010,25cm,lower_double,5,3,oneway,oneway,6.0,119.95,1081.459911078199,376.8124182200735,0.0,125.8441953295761,250.9682228904974,416.8517883434991,180.38760611219013,0.3805499888817907,0.539543261307845,32.57928692348931,28.453998957024275,-99.22553348923384,15.99059247970581
run_011,25cm,lower_double,5,3,rectifier,oneway,6.0,119.95,1055.2240840445702,367.2799339807085,0.0,122.09273782084324,245.1871961598652,409.3065703988847,173.7786445424237,0.3714482705102375,0.5377725789046165,32.22452082254854,28.117637569342023,-96.83833427005948,16.068920135498047
